channel_tag,label,patient_id,condition,source,confidence,project_id,role,protomix_status,organ,disease
131N,tumor samples per plex,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000514,,complete,Brain,GBM
126,126–130C = tumor/NAT samples,case_126,126–130C = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000519,case,complete,Oral cavity / Head and neck,OSCC
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000519,reference,complete,Oral cavity / Head and neck,OSCC
130C,tumor/NAT samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000519,,complete,Oral cavity / Head and neck,OSCC
126,126–130C = tumor/NAT samples,case_126,126–130C = tumor/NAT samples,csv:TMT Channels Comparison,0.5,PDC000563,case,complete,Lung,LUAD
131,pooled reference,reference_131,pooled reference,csv:TMT Additional Channels,0.5,PDC000563,reference,complete,Lung,LUAD
130C,tumor/NAT samples,case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000563,,complete,Lung,LUAD
126,126–131N = tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison,0.5,PDC000585,case,complete,Ovary,HGSOC
131C,pooled reference,reference_131C,pooled reference,csv:TMT Additional Channels,0.5,PDC000585,reference,complete,Ovary,HGSOC
131N,tumor samples (10 per plex),case_126,126–131N = tumor samples (10 per plex),csv:TMT Channels Comparison+learned,0.45,PDC000585,,complete,Ovary,HGSOC
